"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNJ12",-1.37504031015492,5.91676731695284,-2.31616818459021,0.0291887805654213,0.634000999074418,-3.42743175480524
"SPATA1",-1.06596595455267,5.4167677965426,-2.31571512166314,0.0292174421095583,0.634000999074418,-3.42816359797692
"FAM3D",0.770818223688885,11.7838518884608,2.31335865515244,0.029366931177106,0.634000999074418,-3.43196872287389
"EEF1A2",-0.677754179557843,9.05600041276703,-2.3132606383231,0.0293731642522583,0.634000999074418,-3.43212694801581
"FNDC5",-1.05815529922598,6.58201539109024,-2.31319244309748,0.0293775016279156,0.634000999074418,-3.43223703090385
"PCK1",-2.00474664247992,6.28498184565801,-2.31125224814354,0.0295011478150426,0.634000999074418,-3.43536817026556
"FLJ38576",-1.03581298117219,6.35493127540561,-2.31117142187964,0.029506309064796,0.634000999074418,-3.43549857697835
"POU5F1B",-1.18037317489886,8.45916217743118,-2.31037906358123,0.0295569496407119,0.634000999074418,-3.43677684424409
"GAS2",-0.851849282139645,8.83616988908738,-2.30989182082946,0.029588129294337,0.634000999074418,-3.43756275995447
"KCNE2",-1.75813444926176,12.4591334795114,-2.30965748118792,0.0296031358538841,0.634000999074418,-3.43794071238992
"KRT75",-0.864874176470781,6.99262053138115,-2.30962760186975,0.0296050497544457,0.634000999074418,-3.43798890136771
"CUEDC1",-0.702474242756177,7.86782104338238,-2.30948676086965,0.0296140727553984,0.634000999074418,-3.43821604305869
"IL1RL2",-0.863267254891079,6.47272659149441,-2.30938358234889,0.029620684496603,0.634000999074418,-3.43838243940671
"MRGPRX1",-0.852753480182927,6.469385774878,-2.30753638863136,0.0297392819811251,0.634000999074418,-3.44136068752747
"KCNN2",-1.15918602920449,5.47159140148798,-2.30696123652573,0.0297762975048177,0.634000999074418,-3.44228772930664
"CXCL10",1.11452935485277,9.76190118918894,2.30521890508065,0.0298886868602882,0.634000999074418,-3.44509523775253
"ZNF134",0.712504032992772,7.79173848107451,2.30151719779201,0.0301287517613737,0.634000999074418,-3.45105590825805
"TNFAIP6",0.807410158612951,7.30852952061973,2.30054419092625,0.0301921449174775,0.634000999074418,-3.45262176903134
"SDF2L1",0.735824548003745,10.3910702052287,2.29991153608516,0.0302334287632811,0.634000999074418,-3.45363969470372
"LOC100288123",-0.986016937191394,6.3855230464548,-2.29816154313995,0.0303478927165618,0.634000999074418,-3.45645454172637
"CDNF",0.58665669609482,6.22392863066249,2.29522502373704,0.0305408534346209,0.634000999074418,-3.46117510466314
"LINC02703",-0.638077233283881,6.57996989151784,-2.29502731352927,0.0305538852104792,0.634000999074418,-3.46149280484258
"HTR1A",1.11144826342917,6.28316484957265,2.2937007868902,0.0306414524285254,0.634000999074418,-3.46362398574416
"LOC780529",-1.10184278719488,5.94266467520336,-2.29357253013193,0.0306499310823395,0.634000999074418,-3.4638300033581
"LINC01898",-1.12337801682422,6.11152844587289,-2.29234079621852,0.0307314661085299,0.634000999074418,-3.46580818385267
"MTHFD1L",-0.808157847647593,5.21911319508871,-2.2916654033941,0.0307762578204769,0.634000999074418,-3.4668926103067
"SIGLEC10",0.681525984904946,7.39548028064987,2.29092597625485,0.0308253644716566,0.634000999074418,-3.46807963792467
"ZSCAN4",-0.916110807828668,5.75330433029966,-2.29041486467009,0.0308593500094891,0.634000999074418,-3.46890001209393
"SLC25A18",-1.30003498470315,5.58692355802211,-2.28963142024475,0.0309115101586929,0.634000999074418,-3.47015729433681
"GZMB",0.673172555292295,8.75639004068423,2.28898642354415,0.0309545130136295,0.634000999074418,-3.47119220521755
