"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"METTL2B",4.86584884038518,9.89954619637693,6.41282511808841,4.20579321434835e-10,5.78052044111598e-09,12.5628126096733
"ZNF138",5.75098295274323,9.57303850628566,6.41182841238416,4.23070598522686e-10,5.81066611478024e-09,12.5571135832447
"ZBTB8OS",6.30703213377022,17.0250449525063,6.40984257191354,4.28077412439304e-10,5.87354031414733e-09,12.5457609416337
"ATP13A2",30.3145979600426,51.6313265949823,6.4097151990073,4.2840052631904e-10,5.87354031414733e-09,12.5450328733507
"WDR5",22.340174401286,37.638568142874,6.40965555595919,4.28551908272146e-10,5.87354031414733e-09,12.5446919554593
"DDX47",1.07611468502616,1.68413880785565,6.40934108344161,4.29350948374212e-10,5.88035923184148e-09,12.5428944820419
"RFC5",11.2344658124224,17.8416950928809,6.40867413671839,4.31050421062263e-10,5.89949218384373e-09,12.5390825583055
"ZNF670",3.42338135796005,5.29353207487744,6.40773492844815,4.33454835994232e-10,5.92811709245881e-09,12.5337150684161
"MYH11",-1402.5074212175,479.873213099396,-6.40762004705957,4.33749838021777e-10,5.92811709245881e-09,12.5330585751165
"KDELR2",141.202856605057,262.524153166699,6.40675432611237,4.35979244907067e-10,5.95441401500178e-09,12.5281116898255
"TMEM216",8.3957773300078,16.5724420720161,6.40649898599021,4.36638939025481e-10,5.95925068426449e-09,12.5266527330019
"HASPIN",6.29854074790515,7.27672788043028,6.40446712562025,4.41923408737669e-10,6.02715541301452e-09,12.515044799168
"MYCBP",11.3352671312739,22.7937073854423,6.40290817344141,4.4602037572542e-10,6.0787808440062e-09,12.5061405768045
"GRWD1",11.7256684051883,21.3269521569821,6.40229128390587,4.47651834607598e-10,6.08829349739793e-09,12.5026175877841
"CCDC86",30.3170166747525,44.6552877643399,6.40222840257656,4.47818461944481e-10,6.08829349739793e-09,12.5022584946794
"TAF15",31.718009126708,70.630762583752,6.40220453457794,4.47881724944311e-10,6.08829349739793e-09,12.5021221936957
"KLF8",-2.96530988276958,1.67921936300434,-6.40217235220273,4.4796703936656e-10,6.08829349739793e-09,12.5019384131436
"PPIL4",12.0152023124507,28.8494658444029,6.40202913053853,4.48346908464467e-10,6.08921292185411e-09,12.5011205410487
"SFXN4",16.4461538940406,29.3815468649656,6.40189644720411,4.48699108223193e-10,6.08975553770142e-09,12.5003628615637
"PSME3",49.2985063795084,87.0849566186943,6.40081193730729,4.51588055032845e-10,6.12470225125561e-09,12.494170312211
"EPHA7",-16.1272384372345,4.85180139779599,-6.39883290186237,4.56906911236899e-10,6.18823297906475e-09,12.4828721979508
"IFI30",1.83520163188153,2.41760211289997,6.39820305855249,4.58612518781526e-10,6.20324190258382e-09,12.4792770751896
