"","dynamicColors","mergedColors"
"DRD4","grey","grey"
"DEAF1","black","lightyellow"
"EPS8L2","turquoise","lightcyan"
"TMEM80","turquoise","lightcyan"
"TALDO1","yellow","lightyellow"
"GATD1","black","lightyellow"
"CEND1","brown","greenyellow"
"SLC25A22","yellow","lightyellow"
"PANO1","grey","grey"
"PIDD1","black","lightyellow"
"RPLP2","midnightblue","midnightblue"
"PNPLA2","turquoise","lightcyan"
"CRACR2B","brown","greenyellow"
"CD151","grey","grey"
"POLR2L","midnightblue","midnightblue"
"TSPAN4","pink","greenyellow"
"CHID1","black","lightyellow"
"AP2A2","turquoise","lightcyan"
"MUC6","grey","grey"
"MUC2","grey","grey"
"MUC5AC","grey","grey"
"MUC5B","grey","grey"
"TOLLIP","black","lightyellow"
"BRSK2","grey","grey"
"MOB2","brown","greenyellow"
"DUSP8","grey","grey"
"KRTAP5-1","grey","grey"
"IFITM10","grey","grey"
"AC068580.4","grey","grey"
"CTSD","purple","purple"
"SYT8","grey","grey"
"TNNI2","grey","grey"
"LSP1","red","purple"
"PRR33","red","purple"
"MRPL23","brown","greenyellow"
"IGF2","pink","greenyellow"
"ASCL2","grey","grey"
"C11orf21","red","purple"
"TSPAN32","red","purple"
"CD81","pink","greenyellow"
"TSSC4","black","lightyellow"
"TRPM5","grey","grey"
"KCNQ1","grey","grey"
"CDKN1C","brown","greenyellow"
"SLC22A18AS","grey","grey"
"SLC22A18","brown","greenyellow"
"PHLDA2","grey","grey"
"NAP1L4","black","lightyellow"
"OSBPL5","brown","greenyellow"
"ZNF195","tan","tan"
"ART5","grey","grey"
"NUP98","green","lightcyan"
"PGAP2","yellow","lightyellow"
"RHOG","purple","purple"
"STIM1","turquoise","lightcyan"
"RRM1","yellow","lightyellow"
"TRIM21","royalblue","royalblue"
"TRIM68","turquoise","lightcyan"
"OR51E1","grey","grey"
"HBB","grey","grey"
"TRIM6","brown","greenyellow"
"TRIM5","royalblue","royalblue"
"TRIM22","red","purple"
"C11orf42","blue","lightcyan"
"FAM160A2","turquoise","lightcyan"
"CCKBR","grey","grey"
"CAVIN3","pink","greenyellow"
"SMPD1","pink","greenyellow"
"APBB1","brown","greenyellow"
"TRIM3","cyan","greenyellow"
"ARFIP2","turquoise","lightcyan"
"TIMM10B","blue","lightcyan"
"DNHD1","tan","tan"
"RRP8","turquoise","lightcyan"
"ILK","brown","greenyellow"
"TAF10","magenta","lightyellow"
"TPP1","purple","purple"
"DCHS1","greenyellow","greenyellow"
"MRPL17","yellow","lightyellow"
"ZNF215","grey","grey"
"ZNF214","blue","lightcyan"
"OLFML1","pink","greenyellow"
"PPFIBP2","turquoise","lightcyan"
"CYB5R2","grey","grey"
"EIF3F","midnightblue","midnightblue"
"TUB","brown","greenyellow"
"RIC3","brown","greenyellow"
"STK33","brown","greenyellow"
"TRIM66","blue","lightcyan"
"RPL27A","midnightblue","midnightblue"
"AKIP1","turquoise","lightcyan"
"TMEM9B","green","lightcyan"
"NRIP3","brown","greenyellow"
"SCUBE2","brown","greenyellow"
"DENND5A","brown","greenyellow"
"TMEM41B","yellow","lightyellow"
"IPO7","green","lightcyan"
"ZNF143","green","lightcyan"
"WEE1","green","lightcyan"
"SWAP70","red","purple"
"SBF2","blue","lightcyan"
"ADM","grey","grey"
"AMPD3","red","purple"
"MTRNR2L8","turquoise","lightcyan"
"RNF141","blue","lightcyan"
"LYVE1","greenyellow","greenyellow"
"MRVI1","brown","greenyellow"
"CTR9","green","lightcyan"
"EIF4G2","green","lightcyan"
"ZBED5","tan","tan"
"GALNT18","greenyellow","greenyellow"
"CSNK2A3","green","lightcyan"
"USP47","blue","lightcyan"
"DKK3","pink","greenyellow"
"MICAL2","brown","greenyellow"
"PARVA","brown","greenyellow"
"TEAD1","cyan","greenyellow"
"RASSF10","grey","grey"
"ARNTL","blue","lightcyan"
"BTBD10","green","lightcyan"
"FAR1","green","lightcyan"
"SPON1","brown","greenyellow"
"RRAS2","grey","grey"
"COPB1","green","lightcyan"
"PSMA1","yellow","lightyellow"
"PDE3B","blue","lightcyan"
"CYP2R1","blue","lightcyan"
"INSC","grey","grey"
"SOX6","grey","grey"
"C11orf58","green","lightcyan"
"PLEKHA7","turquoise","lightcyan"
"RPS13","midnightblue","midnightblue"
"PIK3C2A","blue","lightcyan"
"NUCB2","grey","grey"
"NCR3LG1","green","lightcyan"
"KCNJ11","black","lightyellow"
"USH1C","grey","grey"
"SERGEF","grey","grey"
"TPH1","grey","grey"
"SAAL1","yellow","lightyellow"
"SAA4","grey","grey"
"SAA2-SAA4","grey","grey"
"SAA2","grey","grey"
"SAA1","grey","grey"
"HPS5","royalblue","royalblue"
"GTF2H1","green","lightcyan"
"LDHA","yellow","lightyellow"
"LDHC","grey","grey"
"TSG101","green","lightcyan"
"UEVLD","green","lightcyan"
"SPTY2D1","green","lightcyan"
"TMEM86A","purple","purple"
"PTPN5","brown","greenyellow"
"ZDHHC13","yellow","lightyellow"
"E2F8","yellow","lightyellow"
"NAV2","cyan","greenyellow"
"HTATIP2","grey","grey"
"PRMT3","yellow","lightyellow"
"ANO5","brown","greenyellow"
"FANCF","salmon","lightyellow"
"GAS2","grey","grey"
"SVIP","grey","grey"
"FIBIN","pink","greenyellow"
"BBOX1","darkred","darkred"
"CCDC34","yellow","lightyellow"
"LGR4","green","lightcyan"
"LIN7C","green","lightcyan"
"KIF18A","yellow","lightyellow"
"METTL15","green","lightcyan"
"ARL14EP","blue","lightcyan"
"DNAJC24","blue","lightcyan"
"IMMP1L","yellow","lightyellow"
"ELP4","green","lightcyan"
"RCN1","grey","grey"
"EIF3M","yellow","lightyellow"
"PRRG4","grey","grey"
"QSER1","blue","lightcyan"
"DEPDC7","grey","grey"
"TCP11L1","cyan","greenyellow"
"CSTF3","yellow","lightyellow"
"HIPK3","cyan","greenyellow"
"KIAA1549L","grey","grey"
"C11orf91","grey","grey"
"CD59","pink","greenyellow"
"FBXO3","blue","lightcyan"
"LMO2","greenyellow","greenyellow"
"CAPRIN1","green","lightcyan"
"NAT10","yellow","lightyellow"
"ABTB2","turquoise","lightcyan"
"CAT","turquoise","lightcyan"
"EHF","green","lightcyan"
"APIP","green","lightcyan"
"PDHX","green","lightcyan"
"CD44","grey","grey"
"PAMR1","greenyellow","greenyellow"
"FJX1","greenyellow","greenyellow"
"TRIM44","blue","lightcyan"
"LDLRAD3","brown","greenyellow"
"COMMD9","grey","grey"
"PRR5L","pink","greenyellow"
"TRAF6","blue","lightcyan"
"RAG1","grey","grey"
"C11orf74","grey","grey"
"API5","green","lightcyan"
"TTC17","blue","lightcyan"
"HSD17B12","green","lightcyan"
"ALKBH3","grey","grey"
"C11orf96","brown","greenyellow"
"ACCS","tan","tan"
"EXT2","turquoise","lightcyan"
"CD82","grey","grey"
"TSPAN18","brown","greenyellow"
"TP53I11","grey","grey"
"PRDM11","brown","greenyellow"
"SYT13","grey","grey"
"CHST1","greenyellow","greenyellow"
"SLC35C1","turquoise","lightcyan"
"CRY2","cyan","greenyellow"
"MAPK8IP1","brown","greenyellow"
"C11orf94","grey","grey"
"PEX16","black","lightyellow"
"LARGE2","grey","grey"
"PHF21A","cyan","greenyellow"
"CREB3L1","grey","grey"
"DGKZ","turquoise","lightcyan"
"MDK","grey","grey"
"CHRM4","grey","grey"
"AMBRA1","turquoise","lightcyan"
"HARBI1","salmon","lightyellow"
"ATG13","turquoise","lightcyan"
"ARHGAP1","cyan","greenyellow"
"ZNF408","black","lightyellow"
"CKAP5","yellow","lightyellow"
"LRP4","grey","grey"
"C11orf49","turquoise","lightcyan"
"ARFGAP2","turquoise","lightcyan"
"PACSIN3","grey","grey"
"DDB2","turquoise","lightcyan"
"ACP2","turquoise","lightcyan"
"NR1H3","purple","purple"
"MADD","turquoise","lightcyan"
"SPI1","purple","purple"
"SLC39A13","pink","greenyellow"
"PSMC3","yellow","lightyellow"
"CELF1","blue","lightcyan"
"NDUFS3","yellow","lightyellow"
"PTPMT1","yellow","lightyellow"
"KBTBD4","turquoise","lightcyan"
"C1QTNF4","brown","greenyellow"
"MTCH2","yellow","lightyellow"
"AGBL2","tan","tan"
"FNBP4","tan","tan"
"NUP160","green","lightcyan"
"PTPRJ","turquoise","lightcyan"
"FOLH1","grey","grey"
"APLNR","greenyellow","greenyellow"
"TNKS1BP1","turquoise","lightcyan"
"SSRP1","yellow","lightyellow"
"P2RX3","grey","grey"
"SLC43A3","grey","grey"
"RTN4RL2","grey","grey"
"SLC43A1","grey","grey"
"TIMM10","magenta","lightyellow"
"SMTNL1","red","purple"
"UBE2L6","royalblue","royalblue"
"SERPING1","pink","greenyellow"
"CLP1","yellow","lightyellow"
"ZDHHC5","turquoise","lightcyan"
"MED19","magenta","lightyellow"
"TMX2","yellow","lightyellow"
"SELENOH","magenta","lightyellow"
"AP001931.1","tan","tan"
"CTNND1","green","lightcyan"
"LPXN","red","purple"
"ZFP91","green","lightcyan"
"FAM111B","yellow","lightyellow"
"FAM111A","tan","tan"
"DTX4","turquoise","lightcyan"
"MPEG1","purple","purple"
"OSBP","green","lightcyan"
"PATL1","yellow","lightyellow"
"STX3","yellow","lightyellow"
"MRPL16","yellow","lightyellow"
"CBLIF","grey","grey"
"TCN1","grey","grey"
"MS4A2","brown","greenyellow"
"MS4A6A","purple","purple"
"MS4A4A","purple","purple"
"MS4A4E","brown","greenyellow"
"MS4A7","purple","purple"
"MS4A14","purple","purple"
"MS4A1","red","purple"
"MS4A8","grey","grey"
"CCDC86","magenta","lightyellow"
"PTGDR2","grey","grey"
"PRPF19","magenta","lightyellow"
"TMEM109","turquoise","lightcyan"
"TMEM132A","black","lightyellow"
"SLC15A3","purple","purple"
"CD6","red","purple"
"CD5","red","purple"
"VPS37C","turquoise","lightcyan"
"VWCE","grey","grey"
"DDB1","turquoise","lightcyan"
"TKFC","black","lightyellow"
"CYB561A3","turquoise","lightcyan"
"TMEM138","magenta","lightyellow"
"TMEM216","magenta","lightyellow"
"CPSF7","turquoise","lightcyan"
"SDHAF2","magenta","lightyellow"
"PPP1R32","grey","grey"
"LRRC10B","brown","greenyellow"
"SYT7","grey","grey"
"DAGLA","turquoise","lightcyan"
"MYRF","grey","grey"
"TMEM258","magenta","lightyellow"
"FEN1","yellow","lightyellow"
"FADS2","pink","greenyellow"
"FADS1","pink","greenyellow"
"FADS3","brown","greenyellow"
"RAB3IL1","pink","greenyellow"
"BEST1","pink","greenyellow"
"FTH1","grey","grey"
"INCENP","black","lightyellow"
"SCGB2A1","grey","grey"
"ASRGL1","grey","grey"
"AHNAK","cyan","greenyellow"
"EEF1G","midnightblue","midnightblue"
"TUT1","black","lightyellow"
"MTA2","black","lightyellow"
"EML3","turquoise","lightcyan"
"ROM1","brown","greenyellow"
"B3GAT3","black","lightyellow"
"GANAB","turquoise","lightcyan"
"INTS5","black","lightyellow"
"C11orf98","magenta","lightyellow"
"LBHD1","green","lightcyan"
"CSKMT","yellow","lightyellow"
"UQCC3","magenta","lightyellow"
"UBXN1","black","lightyellow"
"LRRN4CL","brown","greenyellow"
"BSCL2","turquoise","lightcyan"
"HNRNPUL2-BSCL2","turquoise","lightcyan"
"GNG3","turquoise","lightcyan"
"HNRNPUL2","grey","grey"
"TTC9C","black","lightyellow"
"ZBTB3","turquoise","lightcyan"
"POLR2G","magenta","lightyellow"
"TAF6L","black","lightyellow"
"TMEM223","magenta","lightyellow"
"TMEM179B","magenta","lightyellow"
"NXF1","turquoise","lightcyan"
"STX5","turquoise","lightcyan"
"WDR74","magenta","lightyellow"
"SLC3A2","black","lightyellow"
"CHRM1","grey","grey"
"PLAAT5","grey","grey"
"PLAAT4","red","purple"
"PLAAT2","grey","grey"
"PLAAT3","grey","grey"
"ATL3","cyan","greenyellow"
"RTN3","yellow","lightyellow"
"C11orf95","brown","greenyellow"
"SPINDOC","black","lightyellow"
"MARK2","black","lightyellow"
"RCOR2","yellow","lightyellow"
"NAA40","tan","tan"
"COX8A","brown","greenyellow"
"OTUB1","magenta","lightyellow"
"MACROD1","grey","grey"
"STIP1","yellow","lightyellow"
"FERMT3","red","purple"
"TRPT1","magenta","lightyellow"
"NUDT22","black","lightyellow"
"DNAJC4","grey","grey"
"VEGFB","pink","greenyellow"
"FKBP2","grey","grey"
"PPP1R14B","magenta","lightyellow"
"PLCB3","turquoise","lightcyan"
"BAD","grey","grey"
"GPR137","grey60","lightyellow"
"ESRRA","magenta","lightyellow"
"TRMT112","magenta","lightyellow"
"PRDX5","grey","grey"
"CCDC88B","red","purple"
"RPS6KA4","black","lightyellow"
"NRXN2","brown","greenyellow"
"RASGRP2","red","purple"
"PYGM","brown","greenyellow"
"SF1","black","lightyellow"
"MAP4K2","turquoise","lightcyan"
"MEN1","black","lightyellow"
"CDC42BPG","turquoise","lightcyan"
"EHD1","red","purple"
"ATG2A","turquoise","lightcyan"
"PPP2R5B","pink","greenyellow"
"BATF2","royalblue","royalblue"
"ARL2","magenta","lightyellow"
"SAC3D1","magenta","lightyellow"
"NAALADL1","brown","greenyellow"
"CDCA5","yellow","lightyellow"
"ZFPL1","black","lightyellow"
"VPS51","turquoise","lightcyan"
"TM7SF2","grey","grey"
"ZNHIT2","magenta","lightyellow"
"FAU","midnightblue","midnightblue"
"SYVN1","turquoise","lightcyan"
"MRPL49","yellow","lightyellow"
"SPDYC","grey","grey"
"CAPN1","turquoise","lightcyan"
"POLA2","yellow","lightyellow"
"CDC42EP2","grey","grey"
"DPF2","turquoise","lightcyan"
"TIGD3","yellow","lightyellow"
"SLC25A45","red","purple"
"FRMD8","turquoise","lightcyan"
"SCYL1","turquoise","lightcyan"
"LTBP3","brown","greenyellow"
"ZNRD2","magenta","lightyellow"
"FAM89B","pink","greenyellow"
"EHBP1L1","cyan","greenyellow"
"KCNK7","grey","grey"
"MAP3K11","black","lightyellow"
"PCNX3","turquoise","lightcyan"
"SIPA1","red","purple"
"RELA","turquoise","lightcyan"
"KAT5","turquoise","lightcyan"
"RNASEH2C","magenta","lightyellow"
"AP5B1","turquoise","lightcyan"
"OVOL1","yellow","lightyellow"
"CFL1","magenta","lightyellow"
"MUS81","turquoise","lightcyan"
"EFEMP2","pink","greenyellow"
"CTSW","red","purple"
"FIBP","magenta","lightyellow"
"CCDC85B","grey","grey"
"FOSL1","grey","grey"
"C11orf68","pink","greenyellow"
"DRAP1","magenta","lightyellow"
"SART1","black","lightyellow"
"EIF1AD","turquoise","lightcyan"
"BANF1","magenta","lightyellow"
"CST6","grey","grey"
"SF3B2","black","lightyellow"
"PACS1","cyan","greenyellow"
"KLC2","black","lightyellow"
"RAB1B","black","lightyellow"
"CNIH2","grey","grey"
"YIF1A","magenta","lightyellow"
"TMEM151A","grey","grey"
"CD248","pink","greenyellow"
"RIN1","grey","grey"
"BRMS1","magenta","lightyellow"
"B4GAT1","turquoise","lightcyan"
"SLC29A2","yellow","lightyellow"
"MRPL11","magenta","lightyellow"
"PELI3","brown","greenyellow"
"DPP3","magenta","lightyellow"
"ZDHHC24","turquoise","lightcyan"
"CTSF","brown","greenyellow"
"CCDC87","grey","grey"
"CCS","grey","grey"
"RBM14","black","lightyellow"
"RBM4","blue","lightcyan"
"RBM4B","blue","lightcyan"
"SPTBN2","turquoise","lightcyan"
"C11orf80","grey","grey"
"RCE1","magenta","lightyellow"
"PC","turquoise","lightcyan"
"LRFN4","magenta","lightyellow"
"C11orf86","grey","grey"
"SYT12","grey","grey"
"RHOD","grey","grey"
"KDM2A","turquoise","lightcyan"
"GRK2","turquoise","lightcyan"
"ANKRD13D","turquoise","lightcyan"
"SSH3","turquoise","lightcyan"
"RAD9A","turquoise","lightcyan"
"POLD4","grey","grey"
"CLCF1","grey","grey"
"PPP1CA","magenta","lightyellow"
"TBC1D10C","red","purple"
"CARNS1","grey","grey"
"RPS6KB2","magenta","lightyellow"
"CORO1B","magenta","lightyellow"
"CABP4","grey","grey"
"TMEM134","magenta","lightyellow"
"AIP","grey","grey"
"PITPNM1","turquoise","lightcyan"
"CDK2AP2","magenta","lightyellow"
"GSTP1","grey","grey"
"NDUFV1","magenta","lightyellow"
"NUDT8","brown","greenyellow"
"TBX10","grey","grey"
"ACY3","grey","grey"
"ALDH3B2","darkred","darkred"
"UNC93B1","magenta","lightyellow"
"ALDH3B1","grey","grey"
"NDUFS8","magenta","lightyellow"
"TCIRG1","turquoise","lightcyan"
"CHKA","salmon","lightyellow"
"KMT5B","green","lightcyan"
"C11orf24","grey","grey"
"LRP5","turquoise","lightcyan"
"PPP6R3","green","lightcyan"
"GAL","grey","grey"
"TESMIN","yellow","lightyellow"
"CPT1A","turquoise","lightcyan"
"MRPL21","magenta","lightyellow"
"IGHMBP2","turquoise","lightcyan"
"MRGPRF","brown","greenyellow"
"TPCN2","turquoise","lightcyan"
"MYEOV","grey","grey"
"CCND1","green","lightcyan"
"LTO1","turquoise","lightcyan"
"ANO1","grey","grey"
"FADD","black","lightyellow"
"PPFIA1","green","lightcyan"
"CTTN","turquoise","lightcyan"
"SHANK2","turquoise","lightcyan"
"DHCR7","yellow","lightyellow"
"NADSYN1","turquoise","lightcyan"
"FAM86C1","yellow","lightyellow"
"AP002495.1","turquoise","lightcyan"
"DEFB131B","blue","lightcyan"
"RNF121","turquoise","lightcyan"
"IL18BP","red","purple"
"NUMA1","turquoise","lightcyan"
"LRTOMT","turquoise","lightcyan"
"LAMTOR1","magenta","lightyellow"
"ANAPC15","magenta","lightyellow"
"FOLR1","grey","grey"
"FOLR2","purple","purple"
"INPPL1","turquoise","lightcyan"
"CLPB","yellow","lightyellow"
"PDE2A","brown","greenyellow"
"ARAP1","turquoise","lightcyan"
"STARD10","brown","greenyellow"
"ATG16L2","tan","tan"
"FCHSD2","red","purple"
"P2RY2","darkred","darkred"
"P2RY6","purple","purple"
"ARHGEF17","brown","greenyellow"
"RELT","turquoise","lightcyan"
"FAM168A","cyan","greenyellow"
"PLEKHB1","grey","grey"
"RAB6A","green","lightcyan"
"MRPL48","yellow","lightyellow"
"COA4","yellow","lightyellow"
"PAAF1","green","lightcyan"
"UCP2","red","purple"
"C2CD3","turquoise","lightcyan"
"PPME1","yellow","lightyellow"
"P4HA3","pink","greenyellow"
"PGM2L1","blue","lightcyan"
"KCNE3","grey","grey"
"LIPT2","grey","grey"
"POLD3","green","lightcyan"
"CHRDL2","brown","greenyellow"
"RNF169","blue","lightcyan"
"XRRA1","turquoise","lightcyan"
"SPCS2","yellow","lightyellow"
"NEU3","turquoise","lightcyan"
"SLCO2B1","purple","purple"
"TPBGL","pink","greenyellow"
"ARRB1","brown","greenyellow"
"RPS3","midnightblue","midnightblue"
"KLHL35","grey","grey"
"GDPD5","salmon","lightyellow"
"SERPINH1","pink","greenyellow"
"MAP6","brown","greenyellow"
"MOGAT2","grey","grey"
"DGAT2","salmon","lightyellow"
"UVRAG","blue","lightcyan"
"WNT11","grey","grey"
"THAP12","green","lightcyan"
"EMSY","blue","lightcyan"
"LRRC32","pink","greenyellow"
"TSKU","grey","grey"
"ACER3","blue","lightcyan"
"B3GNT6","grey","grey"
"CAPN5","grey","grey"
"OMP","grey","grey"
"MYO7A","turquoise","lightcyan"
"PAK1","green","lightcyan"
"CLNS1A","yellow","lightyellow"
"AQP11","grey","grey"
"RSF1","blue","lightcyan"
"AAMDC","grey","grey"
"INTS4","green","lightcyan"
"KCTD14","grey","grey"
"NDUFC2","grey","grey"
"ALG8","yellow","lightyellow"
"KCTD21","turquoise","lightcyan"
"USP35","turquoise","lightcyan"
"GAB2","cyan","greenyellow"
"NARS2","yellow","lightyellow"
"TENM4","pink","greenyellow"
"PRCP","greenyellow","greenyellow"
"DDIAS","yellow","lightyellow"
"RAB30","brown","greenyellow"
"PCF11","blue","lightcyan"
"ANKRD42","blue","lightcyan"
"CCDC90B","blue","lightcyan"
"TMEM126B","green","lightcyan"
"TMEM126A","green","lightcyan"
"CREBZF","tan","tan"
"CCDC89","brown","greenyellow"
"SYTL2","blue","lightcyan"
"PICALM","blue","lightcyan"
"EED","green","lightcyan"
"HIKESHI","grey","grey"
"ME3","grey","grey"
"PRSS23","brown","greenyellow"
"FZD4","greenyellow","greenyellow"
"TMEM135","green","lightcyan"
"RAB38","grey","grey"
"CTSC","purple","purple"
"NOX4","pink","greenyellow"
"CHORDC1","tan","tan"
"SLC36A4","brown","greenyellow"
"SMCO4","grey","grey"
"CEP295","tan","tan"
"TAF1D","tan","tan"
"C11orf54","blue","lightcyan"
"MED17","green","lightcyan"
"VSTM5","grey","grey"
"PANX1","turquoise","lightcyan"
"MRE11","tan","tan"
"ANKRD49","tan","tan"
"FUT4","green","lightcyan"
"PIWIL4","grey","grey"
"AMOTL1","brown","greenyellow"
"CWC15","yellow","lightyellow"
"SRSF8","blue","lightcyan"
"ENDOD1","blue","lightcyan"
"SESN3","brown","greenyellow"
"FAM76B","tan","tan"
"CEP57","blue","lightcyan"
"MTMR2","blue","lightcyan"
"MAML2","cyan","greenyellow"
"CCDC82","tan","tan"
"JRKL","tan","tan"
"ARHGAP42","blue","lightcyan"
"TRPC6","greenyellow","greenyellow"
"CEP126","brown","greenyellow"
"CFAP300","grey","grey"
"YAP1","blue","lightcyan"
"BIRC3","red","purple"
"BIRC2","blue","lightcyan"
"TMEM123","green","lightcyan"
"MMP7","grey","grey"
"MMP10","grey","grey"
"MMP1","grey","grey"
"MMP3","grey","grey"
"MMP12","brown","greenyellow"
"MMP13","grey","grey"
"DCUN1D5","yellow","lightyellow"
"DYNC2H1","brown","greenyellow"
"PDGFD","greenyellow","greenyellow"
"CASP4","purple","purple"
"CASP5","grey","grey"
"CASP1","red","purple"
"CARD16","red","purple"
"CARD17","red","purple"
"MSANTD4","blue","lightcyan"
"KBTBD3","blue","lightcyan"
"AASDHPPT","green","lightcyan"
"GUCY1A2","greenyellow","greenyellow"
"CWF19L2","tan","tan"
"ALKBH8","blue","lightcyan"
"SLN","grey","grey"
"SLC35F2","yellow","lightyellow"
"RAB39A","red","purple"
"CUL5","blue","lightcyan"
"ACAT1","green","lightcyan"
"NPAT","blue","lightcyan"
"ATM","blue","lightcyan"
"POGLUT3","blue","lightcyan"
"EXPH5","green","lightcyan"
"DDX10","green","lightcyan"
"RDX","brown","greenyellow"
"ZC3H12C","blue","lightcyan"
"FDX1","yellow","lightyellow"
"ARHGAP20","brown","greenyellow"
"C11orf53","grey","grey"
"COLCA2","grey","grey"
"POU2AF1","red","purple"
"LAYN","brown","greenyellow"
"SIK2","cyan","greenyellow"
"PPP2R1B","green","lightcyan"
"ALG9","blue","lightcyan"
"FDXACB1","yellow","lightyellow"
"C11orf1","midnightblue","midnightblue"
"CRYAB","brown","greenyellow"
"HSPB2","brown","greenyellow"
"DIXDC1","brown","greenyellow"
"DLAT","green","lightcyan"
"PIH1D2","grey","grey"
"NKAPD1","green","lightcyan"
"TIMM8B","yellow","lightyellow"
"SDHD","green","lightcyan"
"IL18","grey","grey"
"PTS","yellow","lightyellow"
"NCAM1","brown","greenyellow"
"TTC12","blue","lightcyan"
"TMPRSS5","grey","grey"
"ZW10","green","lightcyan"
"USP28","green","lightcyan"
"HTR3A","grey","grey"
"ZBTB16","brown","greenyellow"
"NNMT","pink","greenyellow"
"C11orf71","grey","grey"
"RBM7","green","lightcyan"
"REXO2","brown","greenyellow"
"CADM1","brown","greenyellow"
"BUD13","green","lightcyan"
"ZPR1","yellow","lightyellow"
"APOA4","grey","grey"
"APOC3","grey","grey"
"APOA1","grey","grey"
"SIK3","cyan","greenyellow"
"PAFAH1B2","green","lightcyan"
"SIDT2","turquoise","lightcyan"
"TAGLN","brown","greenyellow"
"PCSK7","cyan","greenyellow"
"RNF214","turquoise","lightcyan"
"BACE1","brown","greenyellow"
"CEP164","salmon","lightyellow"
"FXYD6","brown","greenyellow"
"TMPRSS13","grey","grey"
"IL10RA","red","purple"
"SMIM35","turquoise","lightcyan"
"TMPRSS4","grey","grey"
"SCN4B","brown","greenyellow"
"JAML","red","purple"
"MPZL3","green","lightcyan"
"MPZL2","green","lightcyan"
"CD3E","red","purple"
"CD3D","red","purple"
"CD3G","red","purple"
"UBE4A","blue","lightcyan"
"ATP5MG","midnightblue","midnightblue"
"KMT2A","blue","lightcyan"
"TTC36","grey","grey"
"TMEM25","brown","greenyellow"
"IFT46","blue","lightcyan"
"ARCN1","green","lightcyan"
"PHLDB1","pink","greenyellow"
"TREH","grey","grey"
"DDX6","blue","lightcyan"
"BCL9L","turquoise","lightcyan"
"UPK2","grey","grey"
"CCDC84","tan","tan"
"RPS25","midnightblue","midnightblue"
"TRAPPC4","yellow","lightyellow"
"SLC37A4","yellow","lightyellow"
"HYOU1","turquoise","lightcyan"
"VPS11","turquoise","lightcyan"
"HMBS","yellow","lightyellow"
"DPAGT1","yellow","lightyellow"
"C2CD2L","turquoise","lightcyan"
"HINFP","green","lightcyan"
"NLRX1","turquoise","lightcyan"
"PDZD3","grey","grey"
"CCDC153","grey","grey"
"CBL","blue","lightcyan"
"MCAM","brown","greenyellow"
"RNF26","turquoise","lightcyan"
"USP2","brown","greenyellow"
"THY1","pink","greenyellow"
"NECTIN1","turquoise","lightcyan"
"TRIM29","darkred","darkred"
"OAF","grey","grey"
"POU2F3","grey","grey"
"TLCD5","brown","greenyellow"
"ARHGEF12","blue","lightcyan"
"TBCEL","brown","greenyellow"
"SC5D","green","lightcyan"
"SORL1","blue","lightcyan"
"UBASH3B","purple","purple"
"CRTAM","red","purple"
"JHY","brown","greenyellow"
"HSPA8","green","lightcyan"
"CLMP","brown","greenyellow"
"GRAMD1B","grey","grey"
"ZNF202","green","lightcyan"
"VWA5A","blue","lightcyan"
"TBRG1","blue","lightcyan"
"SIAE","grey","grey"
"SPA17","yellow","lightyellow"
"NRGN","grey","grey"
"VSIG2","grey","grey"
"ESAM","greenyellow","greenyellow"
"MSANTD2","tan","tan"
"ROBO3","grey","grey"
"ROBO4","greenyellow","greenyellow"
"CCDC15","yellow","lightyellow"
"SLC37A2","purple","purple"
"TMEM218","green","lightcyan"
"PKNOX2","brown","greenyellow"
"FEZ1","brown","greenyellow"
"EI24","yellow","lightyellow"
"STT3A","yellow","lightyellow"
"CHEK1","yellow","lightyellow"
"HYLS1","grey","grey"
"PUS3","yellow","lightyellow"
"CDON","brown","greenyellow"
"RPUSD4","yellow","lightyellow"
"FAM118B","green","lightcyan"
"SRPRA","turquoise","lightcyan"
"FOXRED1","yellow","lightyellow"
"TIRAP","turquoise","lightcyan"
"DCPS","magenta","lightyellow"
"ST3GAL4","pink","greenyellow"
"ETS1","red","purple"
"FLI1","red","purple"
"KCNJ5","purple","purple"
"C11orf45","grey","grey"
"ARHGAP32","yellow","lightyellow"
"BARX2","grey","grey"
"TMEM45B","brown","greenyellow"
"NFRKB","turquoise","lightcyan"
"PRDM10","blue","lightcyan"
"APLP2","turquoise","lightcyan"
"ST14","yellow","lightyellow"
"ZBTB44","blue","lightcyan"
"ADAMTS8","brown","greenyellow"
"ADAMTS15","brown","greenyellow"
"SNX19","blue","lightcyan"
"NTM","pink","greenyellow"
"IGSF9B","cyan","greenyellow"
"JAM3","brown","greenyellow"
"NCAPD3","yellow","lightyellow"
"VPS26B","turquoise","lightcyan"
"THYN1","grey","grey"
"ACAD8","turquoise","lightcyan"
"GLB1L2","yellow","lightyellow"
"IQSEC3","brown","greenyellow"
"SLC6A12","grey","grey"
"KDM5A","blue","lightcyan"
"CCDC77","yellow","lightyellow"
"B4GALNT3","grey","grey"
"NINJ2","pink","greenyellow"
"WNK1","cyan","greenyellow"
"RAD52","blue","lightcyan"
"ERC1","cyan","greenyellow"
"WNT5B","grey","grey"
"FBXL14","turquoise","lightcyan"
"ADIPOR2","green","lightcyan"
"CACNA2D4","grey","grey"
"DCP1B","cyan","greenyellow"
"CACNA1C","brown","greenyellow"
