"","dynamicColors","mergedColors"
"SLC44A2","turquoise","lightcyan"
"ILF3","black","lightyellow"
"QTRT1","black","lightyellow"
"DNM2","turquoise","lightcyan"
"TMED1","black","lightyellow"
"C19orf38","purple","purple"
"CARM1","black","lightyellow"
"YIPF2","black","lightyellow"
"TIMM29","black","lightyellow"
"SMARCA4","black","lightyellow"
"LDLR","green","lightcyan"
"SPC24","yellow","lightyellow"
"KANK2","brown","greenyellow"
"DOCK6","turquoise","lightcyan"
"RAB3D","turquoise","lightcyan"
"TMEM205","grey","grey"
"CCDC159","brown","greenyellow"
"PLPPR2","brown","greenyellow"
"EPOR","grey","grey"
"RGL3","grey","grey"
"PRKCSH","black","lightyellow"
"ZNF653","black","lightyellow"
"ECSIT","black","lightyellow"
"CNN1","brown","greenyellow"
"ELOF1","black","lightyellow"
"ZNF627","blue","lightcyan"
"ACP5","purple","purple"
"ZNF823","tan","tan"
"ZNF441","blue","lightcyan"
"ZNF491","brown","greenyellow"
"ZNF440","tan","tan"
"ZNF439","brown","greenyellow"
"ZNF69","grey","grey"
"ZNF700","tan","tan"
"ZNF763","tan","tan"
"ZNF433","blue","lightcyan"
"ZNF878","green","lightcyan"
"ZNF844","brown","greenyellow"
"AC022415.2","brown","greenyellow"
"ZNF136","blue","lightcyan"
"ZNF44","tan","tan"
"ZNF563","blue","lightcyan"
"ZNF799","tan","tan"
"ZNF443","tan","tan"
"ZNF490","blue","lightcyan"
"ZNF791","blue","lightcyan"
"AC010422.3","grey","grey"
"MAN2B1","purple","purple"
"WDR83","black","lightyellow"
"WDR83OS","midnightblue","midnightblue"
"DHPS","black","lightyellow"
"FBXW9","black","lightyellow"
"TNPO2","turquoise","lightcyan"
"TRIR","midnightblue","midnightblue"
"GET3","black","lightyellow"
"HOOK2","turquoise","lightcyan"
"JUNB","greenyellow","greenyellow"
"PRDX2","yellow","lightyellow"
"RNASEH2A","yellow","lightyellow"
"RTBDN","grey","grey"
"MAST1","grey","grey"
"DNASE2","purple","purple"
"GCDH","black","lightyellow"
"SYCE2","yellow","lightyellow"
"FARSA","black","lightyellow"
"CALR","black","lightyellow"
"RAD23A","black","lightyellow"
"GADD45GIP1","midnightblue","midnightblue"
"NFIX","brown","greenyellow"
"LYL1","red","purple"
"TRMT1","black","lightyellow"
"NACC1","black","lightyellow"
"STX10","black","lightyellow"
"IER2","greenyellow","greenyellow"
"CACNA1A","grey","grey"
"CCDC130","turquoise","lightcyan"
"MRI1","turquoise","lightcyan"
"C19orf53","midnightblue","midnightblue"
"ZSWIM4","pink","greenyellow"
"NANOS3","grey","grey"
"C19orf57","yellow","lightyellow"
"CC2D1A","black","lightyellow"
"PODNL1","pink","greenyellow"
"DCAF15","black","lightyellow"
"RFX1","turquoise","lightcyan"
"IL27RA","red","purple"
"PALM3","grey","grey"
"MISP3","grey","grey"
"SAMD1","black","lightyellow"
"PRKACA","pink","greenyellow"
"ASF1B","yellow","lightyellow"
"ADGRL1","turquoise","lightcyan"
"ADGRE5","turquoise","lightcyan"
"DDX39A","yellow","lightyellow"
"PKN1","turquoise","lightcyan"
"PTGER1","brown","greenyellow"
"GIPC1","black","lightyellow"
"DNAJB1","grey","grey"
"TECR","brown","greenyellow"
"NDUFB7","midnightblue","midnightblue"
"CLEC17A","red","purple"
"ADGRE3","purple","purple"
"ZNF333","brown","greenyellow"
"ADGRE2","purple","purple"
"SYDE1","pink","greenyellow"
"ILVBL","black","lightyellow"
"NOTCH3","pink","greenyellow"
"EPHX3","grey","grey"
"BRD4","turquoise","lightcyan"
"AKAP8","turquoise","lightcyan"
"AKAP8L","turquoise","lightcyan"
"WIZ","turquoise","lightcyan"
"RASAL3","red","purple"
"CYP4F3","grey","grey"
"CYP4F12","grey","grey"
"CYP4F2","grey","grey"
"CYP4F11","grey","grey"
"TPM4","pink","greenyellow"
"RAB8A","black","lightyellow"
"HSH2D","red","purple"
"FAM32A","black","lightyellow"
"AP1M1","pink","greenyellow"
"KLF2","greenyellow","greenyellow"
"EPS15L1","turquoise","lightcyan"
"C19orf44","turquoise","lightcyan"
"CHERP","black","lightyellow"
"SLC35E1","turquoise","lightcyan"
"MED26","black","lightyellow"
"TMEM38A","grey","grey"
"NWD1","grey","grey"
"SIN3B","turquoise","lightcyan"
"F2RL3","greenyellow","greenyellow"
"CPAMD8","greenyellow","greenyellow"
"HAUS8","black","lightyellow"
"MYO9B","cyan","greenyellow"
"USE1","midnightblue","midnightblue"
"OCEL1","grey","grey"
"NR2F6","black","lightyellow"
"USHBP1","greenyellow","greenyellow"
"ABHD8","brown","greenyellow"
"MRPL34","midnightblue","midnightblue"
"DDA1","black","lightyellow"
"ANO8","turquoise","lightcyan"
"GTPBP3","black","lightyellow"
"PLVAP","greenyellow","greenyellow"
"BST2","royalblue","royalblue"
"MVB12A","black","lightyellow"
"SLC27A1","pink","greenyellow"
"PGLS","midnightblue","midnightblue"
"NIBAN3","red","purple"
"COLGALT1","black","lightyellow"
"UNC13A","grey","grey"
"MAP1S","black","lightyellow"
"FCHO1","grey","grey"
"B3GNT3","grey","grey"
"INSL3","grey","grey"
"JAK3","red","purple"
"RPL18A","midnightblue","midnightblue"
"SLC5A5","grey","grey"
"CCDC124","black","lightyellow"
"ARRDC2","turquoise","lightcyan"
"IL12RB1","red","purple"
"MAST3","turquoise","lightcyan"
"IFI30","purple","purple"
"MPV17L2","black","lightyellow"
"RAB3A","grey","grey"
"PDE4C","grey","grey"
"IQCN","brown","greenyellow"
"JUND","grey","grey"
"LSM4","black","lightyellow"
"PGPEP1","turquoise","lightcyan"
"GDF15","grey","grey"
"LRRC25","purple","purple"
"SSBP4","black","lightyellow"
"ISYNA1","grey","grey"
"ELL","turquoise","lightcyan"
"FKBP8","black","lightyellow"
"KXD1","black","lightyellow"
"UBA52","midnightblue","midnightblue"
"CRLF1","brown","greenyellow"
"REX1BD","midnightblue","midnightblue"
"TMEM59L","brown","greenyellow"
"KLHL26","turquoise","lightcyan"
"CRTC1","turquoise","lightcyan"
"COMP","pink","greenyellow"
"UPF1","turquoise","lightcyan"
"COPE","black","lightyellow"
"DDX49","black","lightyellow"
"HOMER3","pink","greenyellow"
"SUGP2","turquoise","lightcyan"
"ARMC6","black","lightyellow"
"SLC25A42","red","purple"
"TMEM161A","black","lightyellow"
"RFXANK","black","lightyellow"
"NR2C2AP","black","lightyellow"
"TM6SF2","grey","grey"
"SUGP1","black","lightyellow"
"MAU2","turquoise","lightcyan"
"GATAD2A","black","lightyellow"
"TSSK6","turquoise","lightcyan"
"NDUFA13","midnightblue","midnightblue"
"YJEFN3","tan","tan"
"CILP2","pink","greenyellow"
"PBX4","grey","grey"
"LPAR2","black","lightyellow"
"GMIP","turquoise","lightcyan"
"ATP13A1","black","lightyellow"
"ZNF101","red","purple"
"ZNF14","blue","lightcyan"
"ZNF506","blue","lightcyan"
"ZNF253","blue","lightcyan"
"ZNF93","grey","grey"
"ZNF682","grey","grey"
"ZNF90","grey","grey"
"ZNF486","grey","grey"
"ZNF737","grey","grey"
"ZNF626","brown","greenyellow"
"ZNF66","grey","grey"
"ZNF85","red","purple"
"ZNF430","blue","lightcyan"
"ZNF714","grey","grey"
"ZNF431","blue","lightcyan"
"ZNF708","blue","lightcyan"
"ZNF738","grey","grey"
"ZNF493","blue","lightcyan"
"ZNF429","grey","grey"
"ZNF100","blue","lightcyan"
